name,stars,forks,language,created_at,repo_age_days,stars_per_day,score
system-design-primer,339718,54972,Python,2017-02-26 16:15:28+00:00,3310,102.60283902144367,220332.66028390214
awesome-python,288332,27458,Python,2014-06-27 21:00:06+00:00,4284,67.28868144690782,181243.32886814466
Python,218933,50232,Python,2016-07-16 09:44:01+00:00,3535,61.91544117647059,146435.59154411763
tensorflow,194296,75251,C++,2015-11-07 01:19:20+00:00,3787,51.292502639915526,139158.029250264
AutoGPT,182669,46225,Python,2023-03-16 09:21:07+00:00,1101,165.76134301270417,123485.47613430127
transformers,158202,32560,Python,2018-10-29 13:56:00+00:00,2700,58.57164013328397,104695.05716401333
yt-dlp,152411,12364,Python,2020-10-26 04:22:55+00:00,1972,77.24835276229092,95163.52483527621
HelloGitHub,146944,11249,Python,2016-05-04 06:24:11+00:00,3608,40.71598780825713,91545.17159878081
dify,133856,20850,TypeScript,2023-04-12 07:40:24+00:00,1074,124.51720930232558,86581.05172093022
langchain,130493,21497,Python,2022-10-17 02:58:36+00:00,1251,104.2276357827476,84755.32276357828
ComfyUI,106553,12268,Python,2023-01-17 03:15:56+00:00,1159,91.85603448275862,67621.38560344827
pytorch,98472,27264,Python,2016-08-13 05:26:41+00:00,3507,28.070695553021665,67265.2070695553
awesome-llm-apps,103047,15023,Python,2024-04-29 05:30:25+00:00,691,148.91184971098266,66349.99118497109
core,85508,37026,Python,2013-09-17 07:29:48+00:00,4568,18.71481724666229,62414.47148172466
django,87122,33777,Python,2012-04-28 02:47:18+00:00,5075,17.163514578408197,62408.01635145784
fastapi,96452,8896,Python,2018-12-08 08:21:47+00:00,2660,36.24652386320932,60543.62465238632
thefuck,95742,3856,Python,2015-04-08 15:08:04+00:00,4000,23.92951762059485,58604.392951762056
LLMs-from-scratch,88910,13573,Jupyter Notebook,2023-07-23 18:15:57+00:00,972,91.37718396711202,57427.037718396714
ML-For-Beginners,84624,20340,Jupyter Notebook,2021-03-03 01:34:05+00:00,1844,45.86666666666667,56880.98666666667
devops-exercises,81616,18867,Python,2019-10-03 17:31:21+00:00,2361,34.55376799322608,54633.15537679932
manim,85428,7173,Python,2015-03-22 18:50:58+00:00,4017,21.261324041811847,53410.82613240418
browser-use,81796,9629,Python,2024-10-31 16:00:56+00:00,506,161.33333333333334,51982.43333333333
uv,81679,2822,Rust,2023-10-02 20:24:11+00:00,901,90.55321507760532,49863.05532150776
d2l-zh,76379,12169,Python,2017-08-23 04:40:24+00:00,3132,24.378870092563037,49480.53788700925
ansible,68355,24180,Python,2012-03-06 14:58:02+00:00,5128,13.327159290310002,48268.33271592903
flask,71395,16755,Python,2010-04-06 11:11:59+00:00,5828,12.248241550866357,47864.724824155084
superset,71045,16830,TypeScript,2015-07-21 18:55:34+00:00,3896,18.230690274570183,47677.82306902746
scikit-learn,65491,26825,Python,2010-08-17 09:43:38+00:00,5695,11.497717696629213,47343.24977176966
sherlock,73951,8777,Python,2018-12-24 14:30:48+00:00,2644,27.958790170132325,47006.49587901701
keras,63948,19740,Python,2015-03-28 00:35:42+00:00,4011,15.939182452642074,44292.39391824526
localstack,64716,4605,Python,2016-10-25 23:48:03+00:00,3433,18.845661036691904,40212.98456610367
leetcode-master,60822,12338,Shell,2019-12-14 12:05:42+00:00,2289,26.559825327510918,40197.25598253275
scrapy,60925,11376,Python,2010-02-22 02:01:14+00:00,5871,10.375510899182562,39968.83755108992
OpenBB,63388,6230,Python,2020-12-20 10:46:38+00:00,1917,33.04900938477581,39905.10490093847
odoo,49669,31861,Python,2014-05-13 15:38:58+00:00,4330,11.468252135765413,39360.84682521357
30-Days-Of-Python,59832,11409,Python,2019-11-19 17:24:16+00:00,2314,25.84535637149028,39324.484535637144
open-interpreter,62805,5414,Python,2023-07-14 07:10:44+00:00,981,63.95621181262729,39313.59562118126
Real-Time-Voice-Cloning,59545,9422,Python,2019-05-26 08:56:15+00:00,2491,23.89446227929374,38555.989446227926
nerd-fonts,62116,3869,CSS,2014-12-05 04:31:17+00:00,4124,15.058424242424243,38431.80584242424
